"property_id,property_name,city,state,total_units,monthly_rent,property_type,year_built"
"1,Sunset Apartments,Houston,TX,20,2000,Apartment,2005"
"2,River View,Houston,TX,15,2200,Apartment,2010"
"3,Downtown Lofts,Dallas,TX,25,2500,Loft,2015"
"4,Lake Shore,Dallas,TX,30,1800,Apartment,2000"
"5,Ocean Breeze,Miami,FL,22,2300,Condo,2018"
"6,Highland Park,Austin,TX,18,2100,Apartment,2012"
"7,Metro Heights,Houston,TX,28,1900,Apartment,2008"
"8,Riverside Plaza,Dallas,TX,24,2400,Condo,2016"
"9,Greenwood Estates,Miami,FL,20,2600,Townhouse,2019"
"10,Bayou Village,Houston,TX,16,2150,Apartment,2003"
